,pt_no,coordinate
106,pt_no106,"[[16.6891893875356], [3.006756596914997], [-36.59999999999997]]"
107,pt_no107,"[[16.6891893875356], [18.00675659691495], [-36.59999999999997]]"
108,pt_no108,"[[34.03516633000265], [13.27424981189966], [-38.56053966154562]]"
109,pt_no109,"[[18.79764088625348], [12.33839033050277], [-51.19631779425868]]"
110,pt_no110,"[[8.201910638292503], [14.35782723799189], [62.93061790362603]]"
111,pt_no111,"[[-4.405844290645907], [22.44969783077469], [61.89595986638711]]"
112,pt_no112,"[[7.397823460597139], [29.87466615438602], [67.03490413741487]]"
113,pt_no113,"[[12.8700013059917], [24.56841972559824], [56.70528181648726]]"
114,pt_no114,"[[38.87910025702883], [48.00675659691487], [48.92006934582245]]"
115,pt_no115,"[[38.68757373262225], [48.00675659691487], [62.36324970228864]]"
116,pt_no116,"[[51.68918938753573], [34.2691418843424], [61.74813720957783]]"
117,pt_no117,"[[51.68918938753574], [48.00675659691487], [54.25000000000015]]"
118,pt_no118,"[[-23.71728232908892], [13.99415193350221], [-15.79999999999993]]"
119,pt_no119,"[[-20.80476981989932], [11.13408252678724], [-15.79999999999993]]"
120,pt_no120,"[[18.35229175896512], [-1.376073345871914], [-95.30705494592051]]"
121,pt_no121,"[[-32.69846212444836], [-17.65670536197824], [-70.02551266726584]]"
122,pt_no122,"[[-33.05070061591027], [-14.40078591049961], [-53.31594954564809]]"
123,pt_no123,"[[-47.68131548180374], [-22.84187672780479], [-55.46715330276067]]"
124,pt_no124,"[[-32.29239791551448], [-28.5439066703893], [-59.21983377459794]]"
125,pt_no125,"[[30.93180693215358], [48.00675659691488], [-19.8124999999999]]"
126,pt_no126,"[[29.24145902784974], [48.00675659691488], [-29.57010002232177]]"
127,pt_no127,"[[38.91772126537483], [48.00675659691487], [-27.98416247268185]]"
128,pt_no128,"[[33.5070388207572], [31.27810741066067], [-25.28383053419553]]"
129,pt_no129,"[[1.332428629770554], [17.90564103915754], [-123.5]]"
130,pt_no130,"[[2.019148407552294], [34.40589285597012], [-123.5]]"
