,pt_no,coordinate
120,pt_no120,"[[38.86875780194676], [-41.99324340308513], [74.43263980685055]]"
121,pt_no121,"[[51.68918938753571], [-41.99324340308513], [81.9]]"
122,pt_no122,"[[51.68918938753571], [-33.12737735523933], [73.99999999999999]]"
123,pt_no123,"[[51.68918938753571], [-29.34820792684174], [88.61953234852288]]"
124,pt_no124,"[[-27.19433016894185], [2.052023229729926], [-15.79999999999993]]"
125,pt_no125,"[[-23.90251304905077], [4.939012359006554], [-15.79999999999993]]"
126,pt_no126,"[[-22.87732272834], [1.219087303833462], [-15.79999999999993]]"
127,pt_no127,"[[-22.33130380285876], [6.070589121332682], [-20.48557853640524]]"
128,pt_no128,"[[-25.62062249356103], [12.83946619040471], [35.24105228709591]]"
129,pt_no129,"[[-74.81815387026012], [48.0067565969149], [-19.52679646656626]]"
130,pt_no130,"[[-88.31081061246428], [48.0067565969149], [-12.89999999999999]]"
131,pt_no131,"[[-88.31081061246428], [36.92888046268004], [-22.84654619098717]]"
132,pt_no132,"[[-88.31081061246428], [34.67680464020913], [-4.943706689407961]]"
133,pt_no133,"[[-11.91816093756995], [-17.70348040137014], [-36.59999999999996]]"
134,pt_no134,"[[-25.59103078403076], [-22.16319267045556], [-36.59999999999996]]"
135,pt_no135,"[[-26.51947851944702], [-10.77112216215076], [-36.59999999999996]]"
136,pt_no136,"[[1.54162883891189], [-3.297891342336584], [25.79999999999999]]"
137,pt_no137,"[[11.68918938753561], [-8.659910069751831], [25.79999999999999]]"
138,pt_no138,"[[0.1549602640112688], [-14.38559671333343], [25.79999999999999]]"
139,pt_no139,"[[11.68918938753561], [-1.576576736418502], [15.79999999999999]]"
140,pt_no140,"[[1.541628838911894], [-3.297891342336563], [5.799999999999993]]"
141,pt_no141,"[[11.68918938753561], [-8.659910069751831], [5.799999999999988]]"
142,pt_no142,"[[0.1549602640112546], [-14.38559671333338], [5.799999999999993]]"
143,pt_no143,"[[-55.77052412215054], [-26.53058220358483], [-109.3772986836176]]"
144,pt_no144,"[[-50.57846715445785], [-9.258394192497313], [-108.5252598421452]]"
145,pt_no145,"[[-60.51370412689625], [-13.8020556560151], [-95.80545515139299]]"
146,pt_no146,"[[-40.40978667428604], [-9.889376728713643], [-90.4096744992115]]"
147,pt_no147,"[[-54.30062137130756], [0.8710749750718048], [-92.54696438550718]]"
148,pt_no148,"[[16.0154466013236], [17.63534590675923], [113.5]]"
149,pt_no149,"[[3.725699202228611], [24.92893296762598], [113.5]]"
150,pt_no150,"[[15.6934250351852], [33.49415034503001], [113.5]]"
151,pt_no151,"[[12.81767349699061], [20.67113011251033], [96.28263478415286]]"
152,pt_no152,"[[-1.437239562055767], [-29.51080461844294], [95.1419351893328]]"
153,pt_no153,"[[14.71161267819135], [-23.00717230253731], [96.30516425177441]]"
154,pt_no154,"[[1.010911507995932], [-16.05970163582806], [99.41949908630062]]"
155,pt_no155,"[[-31.41746277820431], [20.73488132610467], [70.47093080187169]]"
156,pt_no156,"[[-33.2739049754339], [33.44854033739524], [78.34043947513152]]"
157,pt_no157,"[[-43.74954398903727], [19.05524378400278], [76.83141353620528]]"
158,pt_no158,"[[-32.42610818231654], [20.32924221220056], [82.91644144138255]]"
159,pt_no159,"[[-29.84431173239214], [23.75557537292727], [-15.79999999999993]]"
160,pt_no160,"[[-22.69119146376897], [23.74763620004541], [-15.79999999999993]]"
161,pt_no161,"[[-26.89591759545593], [17.67606516555495], [-15.79999999999993]]"
162,pt_no162,"[[-21.93053428434369], [15.54095818626767], [-23.83591644752452]]"
163,pt_no163,"[[-23.90251304905077], [4.939012359006558], [25.79999999999999]]"
164,pt_no164,"[[-22.87732272834], [1.219087303833462], [25.79999999999999]]"
165,pt_no165,"[[-27.19433016894185], [2.052023229729933], [25.79999999999999]]"
166,pt_no166,"[[-22.38350804669768], [3.356410695787236], [20.25568708084571]]"
167,pt_no167,"[[-67.09272959354891], [48.00675659691489], [23.46960769465274]]"
168,pt_no168,"[[-74.19251952874981], [48.0067565969149], [31.43185302494787]]"
169,pt_no169,"[[-77.0533365903839], [48.0067565969149], [20.5910679850379]]"
170,pt_no170,"[[-70.23403547348472], [33.29185418071098], [21.59904674678849]]"
171,pt_no171,"[[-26.19961351497848], [7.97635414105703], [4.999999999999996]]"
172,pt_no172,"[[-24.36116644820265], [10.06943052150334], [-1.50778813064885]]"
173,pt_no173,"[[-23.90879693425314], [10.70260472592029], [4.999999999999996]]"
174,pt_no174,"[[-22.05319019177807], [6.756481992043488], [1.424696905472693]]"
175,pt_no175,"[[-65.07283795150224], [-41.99324340308511], [-75.07421958144762]]"
176,pt_no176,"[[-73.53942911909581], [-41.9932434030851], [-84.50543235028151]]"
177,pt_no177,"[[-75.79875024068485], [-41.9932434030851], [-68.25875266277744]]"
178,pt_no178,"[[-69.12526028625145], [-22.81510715117957], [-79.92089375682299]]"
179,pt_no179,"[[-61.31299054730785], [14.66149104649396], [-97.56413739753697]]"
180,pt_no180,"[[-41.58194842539156], [3.470086183044435], [-102.3449958792183]]"
181,pt_no181,"[[-56.03321404548768], [5.561191570271651], [-109.3708251666428]]"
182,pt_no182,"[[51.68918938753573], [-5.945650614380583], [-44.85574787834275]]"
183,pt_no183,"[[51.68918938753572], [-15.94626477819396], [-37.43633086876753]]"
184,pt_no184,"[[51.68918938753572], [-6.207837364395814], [-29.08799431100226]]"
185,pt_no185,"[[35.59710259022418], [-11.77193381672958], [-41.96482316619577]]"
186,pt_no186,"[[11.68918938753561], [-1.572767456834356], [-25.79999999999998]]"
