,pt_no,coordinate
162,pt_no162,"[[0.4], [1.125], [0.1881966011250105]]"
163,pt_no163,"[[0.4999999999999999], [0.9999999999999999], [0.3]]"
164,pt_no164,"[[0.0], [0.900000000000003], [0.4999999999999999]]"
165,pt_no165,"[[0.3], [0.9999999999999999], [0.4999999999999998]]"
166,pt_no166,"[[0.1881966011250105], [1.125], [0.3999999999999999]]"
167,pt_no167,"[[0.1881966011250105], [1.125], [0.5999999999999999]]"
168,pt_no168,"[[0.8118033988749894], [1.125], [0.3999999999999999]]"
169,pt_no169,"[[0.5999999999999999], [1.125], [0.1881966011250105]]"
170,pt_no170,"[[0.4999999999999998], [0.9000000000000028], [1.0]]"
171,pt_no171,"[[0.4999999999999999], [0.9999999999999999], [0.7]]"
172,pt_no172,"[[0.5999999999999999], [1.125], [0.8118033988749895]]"
173,pt_no173,"[[0.4], [1.125], [0.8118033988749894]]"
174,pt_no174,"[[0.2700753979796565], [1.933657655155155], [0.5204854098963244]]"
175,pt_no175,"[[0.0], [1.800000000000003], [0.25]]"
176,pt_no176,"[[0.2231372679370493], [1.661734833205609], [0.4]]"
177,pt_no177,"[[1.0], [1.800000000000003], [0.75]]"
178,pt_no178,"[[0.4999999999999999], [0.5], [0.7]]"
179,pt_no179,"[[0.4999999999999999], [0.5], [0.3]]"
180,pt_no180,"[[0.5], [2.5], [0.9]]"
181,pt_no181,"[[0.75], [0.3000000000000009], [0.0]]"
182,pt_no182,"[[1.0], [0.3000000000000008], [0.2499999999999999]]"
183,pt_no183,"[[0.7], [0.5], [0.3]]"
184,pt_no184,"[[0.3], [0.5], [0.7]]"
185,pt_no185,"[[0.2499999999999999], [0.3000000000000008], [1.0]]"
186,pt_no186,"[[0.0], [0.3000000000000009], [0.75]]"
187,pt_no187,"[[0.4999999999999999], [2.400000000000001], [1.0]]"
188,pt_no188,"[[0.4811744900929368], [2.539091574123401], [0.9]]"
189,pt_no189,"[[0.4999999999999999], [2.699999999999999], [1.0]]"
190,pt_no190,"[[1.0], [1.500000000000004], [0.75]]"
191,pt_no191,"[[0.75], [1.500000000000004], [1.0]]"
192,pt_no192,"[[0.75], [1.500000000000004], [0.0]]"
193,pt_no193,"[[1.0], [1.500000000000004], [0.2499999999999999]]"
194,pt_no194,"[[0.4391826412933001], [2.548815824796992], [0.4074953709233723]]"
195,pt_no195,"[[0.5193684291966602], [2.772341694087728], [0.4310994430694111]]"
196,pt_no196,"[[0.3999999999999999], [1.689763565953563], [0.4999999999999999]]"
197,pt_no197,"[[0.4358785322304472], [2.467556525149228], [0.9]]"
198,pt_no198,"[[0.4388739533021841], [2.451253604390909], [0.9]]"
199,pt_no199,"[[0.4493025128822374], [2.463996343277441], [0.9]]"
200,pt_no200,"[[0.0], [2.100000000000002], [0.75]]"
201,pt_no201,"[[0.4893630381692839], [2.469168989214048], [0.1218110477962336]]"
202,pt_no202,"[[0.4388739533021844], [2.548746395609091], [0.09999999999999998]]"
203,pt_no203,"[[0.4188255099070634], [2.539091574123402], [0.09999999999999998]]"
204,pt_no204,"[[0.4999999999999999], [3.0], [0.2499999999999999]]"
205,pt_no205,"[[0.75], [3.0], [0.2499999999999999]]"
206,pt_no206,"[[0.6067006370712226], [2.639220845317833], [0.2533280951635293]]"
207,pt_no207,"[[0.6109582683551663], [2.628359935733837], [0.09619418106065862]]"
208,pt_no208,"[[0.2499999999999999], [2.100000000000002], [1.0]]"
209,pt_no209,"[[0.3941056946833118], [1.533358929474181], [0.5993075493721224]]"
210,pt_no210,"[[0.3], [1.5], [0.4999999999999999]]"
211,pt_no211,"[[0.1829253629843869], [1.682925362984388], [0.6]]"
212,pt_no212,"[[0.6510859638575314], [1.668796120031306], [0.2129745169224055]]"
213,pt_no213,"[[1.0], [2.400000000000002], [0.75]]"
214,pt_no214,"[[1.0], [2.400000000000001], [0.4999999999999999]]"
215,pt_no215,"[[0.6799544318389278], [2.411701023080158], [0.5967271808306124]]"
216,pt_no216,"[[0.2499999999999999], [3.0], [0.4999999999999999]]"
217,pt_no217,"[[0.49999104373813], [2.499053667092205], [0.1848045703412685]]"
218,pt_no218,"[[1.0], [2.700000000000001], [0.2499999999999999]]"
219,pt_no219,"[[1.0], [2.7], [0.4999999999999999]]"
220,pt_no220,"[[0.4999999999999999], [3.0], [0.4999999999999999]]"
221,pt_no221,"[[0.4999999999999999], [1.5], [0.4999999999999999]]"
222,pt_no222,"[[0.3999999999999999], [1.6], [0.4]]"
223,pt_no223,"[[0.4999298452390714], [2.50264774515435], [0.6641274180559935]]"
224,pt_no224,"[[0.4836628453676665], [2.536970431993048], [0.5666666666666668]]"
225,pt_no225,"[[0.75], [0.600000000000002], [1.0]]"
226,pt_no226,"[[1.0], [0.600000000000002], [0.7500000000000002]]"
227,pt_no227,"[[0.0], [0.600000000000002], [0.7500000000000002]]"
228,pt_no228,"[[0.2499999999999999], [0.600000000000002], [1.0]]"
229,pt_no229,"[[0.2499999999999999], [0.600000000000002], [0.0]]"
230,pt_no230,"[[0.0], [0.600000000000002], [0.2499999999999999]]"
231,pt_no231,"[[0.75], [0.600000000000002], [0.0]]"
232,pt_no232,"[[1.0], [0.600000000000002], [0.2499999999999999]]"
233,pt_no233,"[[0.4287116253000438], [2.454758369805739], [0.1223148305136147]]"
234,pt_no234,"[[0.453142259914028], [2.450098835658547], [0.1413733039724031]]"
235,pt_no235,"[[0.4188555104537148], [2.46088452006045], [0.147940499730296]]"
236,pt_no236,"[[0.1881966011250105], [0.875], [0.5999999999999999]]"
237,pt_no237,"[[0.5999999999999999], [0.875], [0.8118033988749895]]"
238,pt_no238,"[[0.8118033988749895], [0.875], [0.5999999999999999]]"
239,pt_no239,"[[0.1881966011250105], [0.875], [0.3999999999999999]]"
240,pt_no240,"[[0.5999999999999999], [0.875], [0.1881966011250105]]"
241,pt_no241,"[[0.4], [0.8749999999999999], [0.8118033988749894]]"
242,pt_no242,"[[0.8118033988749894], [0.875], [0.3999999999999999]]"
243,pt_no243,"[[0.4], [0.8749999999999999], [0.1881966011250105]]"
244,pt_no244,"[[0.3151073878690283], [2.057559713249865], [0.2692609612462037]]"
245,pt_no245,"[[0.0], [2.700000000000001], [0.75]]"
246,pt_no246,"[[0.09402208155637963], [2.935254362084849], [0.6465521630876948]]"
247,pt_no247,"[[0.495665062345941], [2.520364235338979], [0.7763529309580725]]"
248,pt_no248,"[[0.4583688540132347], [2.549294647605041], [0.7976958840190358]]"
249,pt_no249,"[[0.0], [1.500000000000004], [0.75]]"
250,pt_no250,"[[0.0], [1.500000000000004], [0.2499999999999999]]"
251,pt_no251,"[[0.4729128197422896], [2.455558997632171], [0.2100356407494307]]"
252,pt_no252,"[[0.4359182701940136], [2.452023913397702], [0.185109283131441]]"
253,pt_no253,"[[0.2499999999999999], [3.0], [0.75]]"
254,pt_no254,"[[0.75], [0.0], [0.4999999999999999]]"
255,pt_no255,"[[1.0], [2.100000000000002], [0.75]]"
256,pt_no256,"[[0.0], [2.7], [0.4999999999999999]]"
257,pt_no257,"[[0.4977754000519392], [2.514748259215147], [0.3632523219888649]]"
258,pt_no258,"[[0.75], [2.700000000000001], [1.0]]"
259,pt_no259,"[[0.4008496799416852], [2.322765355266644], [0.4785760426890964]]"
260,pt_no260,"[[0.4784112002962717], [2.458856304277263], [0.1684012941547636]]"
261,pt_no261,"[[0.4810167715564854], [2.460783168381258], [0.1416903218497363]]"
262,pt_no262,"[[0.4909587824902767], [2.471322863864845], [0.5195985179143245]]"
263,pt_no263,"[[0.477798224330474], [2.541560302261565], [0.4754006202535414]]"
264,pt_no264,"[[0.0], [0.3000000000000008], [0.2499999999999999]]"
265,pt_no265,"[[0.2499999999999999], [0.3000000000000008], [0.0]]"
266,pt_no266,"[[0.75], [1.800000000000003], [1.0]]"
267,pt_no267,"[[0.4568791953399103], [2.450475494232902], [0.8643985093478853]]"
268,pt_no268,"[[0.4813045732668865], [2.461012518771045], [0.8559624871959232]]"
269,pt_no269,"[[0.4742168512172945], [2.456255924776955], [0.8821830713949284]]"
270,pt_no270,"[[0.5284749814944313], [2.408663168084474], [0.8842971058734841]]"
271,pt_no271,"[[0.2879184742041517], [2.254733234428559], [0.5989504606588664]]"
272,pt_no272,"[[0.4717642063835795], [2.454985343270297], [0.5992267137981886]]"
273,pt_no273,"[[0.3021868902756993], [2.361372794874534], [0.7341134533188508]]"
274,pt_no274,"[[1.0], [0.3000000000000009], [0.75]]"
275,pt_no275,"[[0.4999999999999999], [0.3000000000000008], [1.0]]"
