,no,pt_no,region,temp_I,integ_I
28,cv_no28,"[316, 388, 382, 436]",5,66.3331,66.3331
29,cv_no29,"[200, 199, 254, 385]",5,7.6056,7.6056
30,cv_no30,"[298, 304, 383, 392]",5,78.2935,78.2935
31,cv_no31,"[121, 275, 318, 419]",5,56.051500000000004,56.051500000000004
32,cv_no32,"[297, 276, 306, 410]",5,62.3014,62.3014
33,cv_no33,"[397, 426, 396, 428]",5,0.9478,0.9478
34,cv_no34,"[395, 425, 398, 427]",5,0.924,0.924
35,cv_no35,"[114, 418, 113, 430]",5,45.8227,45.8227
36,cv_no36,"[301, 280, 318, 400]",5,28.25,28.25
37,cv_no37,"[184, 181, 381, 413]",5,42.2768,42.2768
38,cv_no38,"[160, 397, 398, 426]",5,1.1859,1.1859
39,cv_no39,"[395, 396, 160, 425]",5,1.1714,1.1714
40,cv_no40,"[152, 367, 180, 381]",5,36.7824,36.7824
41,cv_no41,"[295, 276, 297, 410]",5,62.7728,62.7728
42,cv_no42,"[142, 443, 257, 141]",5,21.412300000000002,21.412300000000002
43,cv_no43,"[379, 388, 371, 433]",5,44.5642,44.5642
44,cv_no44,"[381, 378, 413, 417]",5,43.1126,43.1126
45,cv_no45,"[138, 78, 139, 428]",5,0.9106000000000001,0.9106000000000001
46,cv_no46,"[237, 87, 238, 427]",5,1.0493000000000001,1.0493000000000001
47,cv_no47,"[135, 136, 390, 391]",5,37.5222,37.5222
48,cv_no48,"[243, 406, 242, 438]",5,38.4821,38.4821
49,cv_no49,"[317, 108, 107, 408]",5,82.06830000000001,82.06830000000001
50,cv_no50,"[180, 177, 10, 381]",5,42.564,42.564
51,cv_no51,"[369, 374, 415, 438]",5,49.5337,49.5337
52,cv_no52,"[102, 226, 101, 399]",5,26.7746,26.7746
53,cv_no53,"[243, 379, 406, 438]",5,40.7753,40.7753
54,cv_no54,"[95, 96, 230, 209]",5,4.3163,4.3163
55,cv_no55,"[90, 91, 173, 248]",5,4.3763,4.3763
56,cv_no56,"[374, 436, 415, 438]",5,46.8003,46.8003
57,cv_no57,"[160, 398, 395, 425]",5,0.7995000000000001,0.7995000000000001
58,cv_no58,"[396, 397, 160, 426]",5,0.8223000000000001,0.8223000000000001
59,cv_no59,"[11, 214, 213, 380]",5,46.0931,46.0931
60,cv_no60,"[178, 10, 177, 381]",5,44.4166,44.4166
61,cv_no61,"[329, 275, 307, 419]",5,56.3082,56.3082
62,cv_no62,"[239, 267, 478, 240]",5,4.7848999999999995,4.7848999999999995
63,cv_no63,"[208, 211, 468, 264]",5,4.9836,4.9836
64,cv_no64,"[140, 256, 442, 141]",5,5.135400000000001,5.135400000000001
65,cv_no65,"[141, 140, 256, 446]",5,5.1977,5.1977
66,cv_no66,"[240, 239, 267, 474]",5,4.7841000000000005,4.7841000000000005
67,cv_no67,"[208, 211, 264, 469]",5,5.143000000000001,5.143000000000001
68,cv_no68,"[172, 260, 175, 457]",5,4.8943,4.8943
69,cv_no69,"[175, 456, 260, 172]",5,4.851,4.851
70,cv_no70,"[380, 424, 134, 429]",5,43.3339,43.3339
71,cv_no71,"[242, 413, 251, 438]",5,40.1525,40.1525
72,cv_no72,"[88, 451, 13, 432]",5,1.9537,1.9537
73,cv_no73,"[86, 448, 9, 431]",5,2.1233,2.1233
74,cv_no74,"[138, 396, 78, 428]",5,0.34180000000000005,0.34180000000000005
75,cv_no75,"[87, 237, 398, 427]",5,0.34750000000000003,0.34750000000000003
76,cv_no76,"[122, 307, 275, 419]",5,57.302800000000005,57.302800000000005
77,cv_no77,"[203, 228, 12, 427]",5,0.9358000000000001,0.9358000000000001
