,0,1,2,3,4,5,6,7,8,9
287,0.007,0.085,0.536,0.697,0.639,0.638,0.61,0.573,0.538,0.507
288,0.93,0.964,0.418,0.562,0.605,0.601,0.576,0.547,0.517,0.489
289,0.007,0.072,0.511,1.09,0.77,0.749,0.716,0.676,0.637,0.601
290,0.854,0.103,0.032,0.004,0.006,0.007,0.011,0.013,0.015,0.016
291,0.008,0.094,0.54,0.613,0.703,0.708,0.664,0.619,0.578,0.543
292,1.363,0.98,0.015,0.093,0.136,0.148,0.146,0.139,0.132,0.124
293,0.785,0.496,0.391,0.353,0.33,0.309,0.29,0.273,0.258,0.245
294,0.745,0.492,0.386,0.35,0.327,0.306,0.287,0.27,0.255,0.242
295,3.272,3.557,2.312,2.084,1.913,1.769,1.638,1.524,1.425,1.339
296,0.081,1.29,1.079,0.924,0.862,0.805,0.758,0.715,0.676,0.641
297,0.01,0.093,0.567,0.61,0.649,0.657,0.624,0.584,0.548,0.515
298,3.406,0.424,0.343,0.268,0.225,0.201,0.186,0.175,0.166,0.159
299,1.577,1.741,0.569,0.402,0.321,0.277,0.25,0.231,0.217,0.206
300,0.018,0.196,1.514,1.46,1.373,1.33,1.264,1.192,1.124,1.061
301,0.001,0.01,0.063,0.241,0.446,0.276,0.233,0.21,0.193,0.18
302,0.0,0.004,0.029,0.101,0.179,0.014,0.007,0.005,0.004,0.004
303,0.026,0.198,0.096,0.08,0.072,0.065,0.061,0.057,0.053,0.05
304,0.002,0.024,0.151,0.511,0.751,0.638,0.555,0.504,0.465,0.434
305,0.32,0.783,0.275,0.226,0.197,0.182,0.172,0.164,0.156,0.149
306,0.002,0.008,0.053,0.52,0.583,0.509,0.449,0.412,0.382,0.358
307,0.021,0.24,2.128,1.702,1.659,1.617,1.542,1.457,1.376,1.3
308,0.001,0.009,0.054,0.163,0.26,0.136,0.116,0.105,0.096,0.09
309,0.321,0.786,0.276,0.227,0.198,0.183,0.173,0.164,0.157,0.15
310,0.071,0.51,0.43,0.366,0.34,0.318,0.299,0.282,0.266,0.252
311,0.301,1.901,1.53,1.32,1.23,1.149,1.08,1.017,0.96,0.91
312,0.001,0.016,0.101,0.408,0.662,0.522,0.448,0.405,0.374,0.348
313,3.413,0.425,0.346,0.27,0.228,0.203,0.188,0.177,0.168,0.161
314,1.192,0.447,0.248,0.196,0.161,0.142,0.13,0.121,0.114,0.108
315,0.0,0.002,0.022,0.283,0.387,0.287,0.262,0.242,0.225,0.211
316,0.904,2.302,1.822,1.577,1.466,1.367,1.282,1.205,1.136,1.075
317,0.052,0.435,0.604,0.527,0.503,0.486,0.463,0.438,0.415,0.393
318,0.0,0.007,0.128,0.578,0.221,0.261,0.248,0.234,0.22,0.207
319,0.006,0.059,0.333,0.564,0.69,0.64,0.58,0.535,0.497,0.465
320,0.206,1.605,0.26,0.261,0.244,0.231,0.22,0.21,0.201,0.192
321,0.0,0.007,0.128,0.578,0.221,0.261,0.248,0.234,0.22,0.207
322,0.0,0.002,0.024,0.303,0.436,0.317,0.29,0.268,0.249,0.233
323,1.181,0.424,0.234,0.184,0.151,0.133,0.121,0.113,0.106,0.101
324,0.103,1.596,0.255,0.269,0.254,0.242,0.231,0.221,0.211,0.203
325,0.001,0.001,0.028,0.21,0.802,0.444,0.431,0.4,0.373,0.349
326,0.001,0.008,0.221,1.01,0.359,0.42,0.405,0.383,0.361,0.341
327,1.922,0.554,0.469,0.372,0.311,0.275,0.251,0.233,0.219,0.208
328,0.008,0.236,1.077,0.276,0.283,0.278,0.267,0.255,0.243,0.232
329,0.379,0.103,0.048,0.075,0.084,0.084,0.081,0.077,0.073,0.068
330,0.144,0.042,0.042,0.034,0.031,0.029,0.028,0.026,0.025,0.024
