,pt_no,coordinate
209,pt_no209,"[[-9.980671069935937], [8.445519415046283], [11.61037145156308]]"
210,pt_no210,"[[-8.365198005140693], [6.284934393329642], [15.79999999999999]]"
211,pt_no211,"[[-6.101144160989618], [10.51501143484294], [12.07690626579999]]"
212,pt_no212,"[[-32.31081061246427], [3.006756596914883], [-123.5]]"
213,pt_no213,"[[-64.86300129742602], [3.006756596914897], [-123.5]]"
214,pt_no214,"[[-46.21545030724182], [-18.38407902555175], [-123.5]]"
215,pt_no215,"[[-8.365198005140691], [6.284934393329657], [-5.000000000000006]]"
216,pt_no216,"[[-6.317346794725855], [6.002794858881137], [-10.17361844837809]]"
217,pt_no217,"[[-9.980670994886287], [8.445519524338792], [-9.189628505551395]]"
218,pt_no218,"[[-6.101144106905906], [10.51501155439984], [-8.72309366808642]]"
219,pt_no219,"[[-35.83024799696459], [48.00675659691488], [0.3023030790426491]]"
220,pt_no220,"[[-35.64990617939405], [44.55165313080664], [-4.200000000000002]]"
221,pt_no221,"[[-33.93392943995572], [42.17143696807005], [1.738326474517549]]"
222,pt_no222,"[[-39.74074846737121], [42.62736331830214], [1.477029134300916]]"
223,pt_no223,"[[-17.27155667458198], [-14.8998315729732], [82.48846286785985]]"
224,pt_no224,"[[-29.92621809974961], [-25.59597967639828], [75.78893442059892]]"
225,pt_no225,"[[-28.40338131944689], [-24.24989481840066], [95.20702242455964]]"
226,pt_no226,"[[-35.85067412439826], [1.690253111767111], [92.73655829913008]]"
227,pt_no227,"[[-3.792452839196013], [6.618089177529492], [1.624901038834156]]"
228,pt_no228,"[[-4.620998006357136], [4.523905338576897], [6.125231370935457]]"
229,pt_no229,"[[1.148256077299201], [4.005578930367833], [5.799999999999988]]"
230,pt_no230,"[[-0.3255018955700202], [9.463465241747734], [4.355162321232077]]"
231,pt_no231,"[[-21.12784888341484], [-32.98048965874823], [-4.200000000000005]]"
232,pt_no232,"[[-23.8081754696607], [-27.86721686831702], [-4.200000000000004]]"
233,pt_no233,"[[-25.99490425559283], [-32.79330820121275], [-4.200000000000004]]"
234,pt_no234,"[[-22.53681960016518], [-32.24200735130128], [2.875449361617049]]"
235,pt_no235,"[[-29.9398015416322], [41.29101835835081], [7.994637299628089]]"
236,pt_no236,"[[-32.24251664898895], [36.00824177129461], [10.22308374851993]]"
237,pt_no237,"[[-27.38260543431419], [34.89269644733175], [7.323642611087568]]"
238,pt_no238,"[[-26.34419810303383], [38.16730931394856], [11.25637600699498]]"
239,pt_no239,"[[-12.24608353847094], [0.5815637685952026], [-25.79999999999994]]"
240,pt_no240,"[[-23.94337966585083], [16.4903465799271], [-35.85599660695115]]"
241,pt_no241,"[[-18.4440069282127], [13.91067190745302], [-39.11072597601864]]"
242,pt_no242,"[[-19.49126207789827], [19.08553474567551], [-37.5056078751583]]"
243,pt_no243,"[[-18.52889031091586], [15.76618409362971], [-34.71430993335882]]"
244,pt_no244,"[[-10.71160426325805], [48.00675659691488], [-28.76557191962913]]"
245,pt_no245,"[[-11.42972236700398], [43.49812527629399], [-25.79999999999992]]"
246,pt_no246,"[[-15.31477886643265], [48.00675659691488], [-29.28811363599031]]"
247,pt_no247,"[[-13.23228348344077], [41.29924511779101], [-32.10323838901101]]"
248,pt_no248,"[[-6.466067038224473], [-3.638571785373216], [-25.79999999999994]]"
249,pt_no249,"[[-1.967842511535466], [-1.33292372124474], [-25.79999999999994]]"
250,pt_no250,"[[-2.538552910300444], [-1.518875809812896], [-31.99482685051936]]"
251,pt_no251,"[[-5.701162118461973], [1.283188663320064], [-30.2905848082409]]"
252,pt_no252,"[[-52.44113056060645], [-41.99324340308511], [32.94631718849481]]"
253,pt_no253,"[[-27.7099674276645], [26.56470557141286], [-4.200000000000004]]"
254,pt_no254,"[[-25.9003983728958], [21.67868194273346], [0.02241156694744451]]"
255,pt_no255,"[[-24.65493441229399], [23.55505914930614], [-4.200000000000004]]"
256,pt_no256,"[[-23.20717002952084], [25.17056568176448], [-0.3432457712473961]]"
257,pt_no257,"[[-41.76544768400534], [-8.584050203825042], [-11.72386376170111]]"
258,pt_no258,"[[-39.11105882677894], [-3.537577549784872], [-10.11123482578735]]"
259,pt_no259,"[[-35.05434260898559], [-8.065861674035812], [-11.67739964478019]]"
260,pt_no260,"[[-38.34848826978504], [-8.49019069072464], [-15.18219335533167]]"
261,pt_no261,"[[-41.09009260703303], [8.938541340977974], [-25.79999999999993]]"
262,pt_no262,"[[-37.55820441151118], [9.335920112581814], [-25.79999999999993]]"
263,pt_no263,"[[-39.72548689204356], [5.80304835959107], [-25.79999999999993]]"
264,pt_no264,"[[-39.18526647910456], [7.902852249693396], [-32.06958509004325]]"
265,pt_no265,"[[-31.19542962584094], [3.61646798302159], [16.59999999999999]]"
266,pt_no266,"[[-33.34055995353336], [4.589832174377356], [24.14032613042816]]"
267,pt_no267,"[[-35.27911141094326], [3.25153466680538], [16.59999999999999]]"
268,pt_no268,"[[-30.83408373602738], [-0.2679598193396384], [21.61012421090263]]"
269,pt_no269,"[[-35.807279471397], [48.00675659691488], [11.52122671078309]]"
270,pt_no270,"[[-32.75874156083204], [48.00675659691488], [7.28129930056693]]"
271,pt_no271,"[[-30.81081061246439], [48.00675659691488], [11.68172856566648]]"
272,pt_no272,"[[-35.43068558466055], [41.81383527796481], [10.1284605916515]]"
273,pt_no273,"[[-44.24885613157068], [10.73275976436444], [-5.000000000000001]]"
274,pt_no274,"[[-44.11998032580149], [15.70045002723413], [-5.000000000000001]]"
275,pt_no275,"[[-39.93578113691802], [13.29720332441197], [-5.000000000000002]]"
276,pt_no276,"[[-40.90899593194256], [10.25559627588867], [-9.451397849667405]]"
277,pt_no277,"[[-29.64976695764758], [8.778441670337301], [-5.000000000000003]]"
278,pt_no278,"[[-31.28641186994014], [12.51400308818513], [-5.000000000000003]]"
279,pt_no279,"[[-26.89717640874064], [12.28335765489698], [-5.000000000000004]]"
280,pt_no280,"[[-24.30881851841167], [-23.03463526683453], [-24.99999999999994]]"
281,pt_no281,"[[-20.37711654797164], [-24.18437821098948], [-24.99999999999994]]"
282,pt_no282,"[[-21.34260821582372], [-19.73213013765014], [-24.99999999999994]]"
283,pt_no283,"[[-22.499819401493], [-23.84965621162431], [-18.9899040442921]]"
284,pt_no284,"[[-20.64618469831513], [37.91452529562695], [-14.99999999999997]]"
285,pt_no285,"[[-24.93016039898779], [41.54558084390752], [-18.70661838012037]]"
286,pt_no286,"[[-21.46135956902365], [43.09002944126318], [-14.58825741080526]]"
287,pt_no287,"[[-20.69761670096471], [40.2032217199433], [-20.43811144809553]]"
288,pt_no288,"[[0.5117810820045432], [-17.98868253934565], [-37.1038340179681]]"
289,pt_no289,"[[-3.485100417256963], [-17.15785693962845], [-40.62889235779878]]"
290,pt_no290,"[[-4.122034291421745], [-17.15659792874489], [-35.47016566602144]]"
291,pt_no291,"[[11.68918938753561], [-6.589888336332436], [-37.10767570361218]]"
292,pt_no292,"[[11.68918938753561], [-2.002651635346552], [-38.49159847052248]]"
293,pt_no293,"[[4.858219952286348], [-4.111017529955816], [-39.69170017585147]]"
294,pt_no294,"[[7.359062368613387], [15.5067565969147], [-5.000000000000008]]"
295,pt_no295,"[[11.68918938753561], [15.50675659691477], [-8.058993511390039]]"
296,pt_no296,"[[-23.54497403153454], [1.263972545250973], [-40.3458129832057]]"
297,pt_no297,"[[-22.44982447543778], [4.995831879632858], [-36.52543196070761]]"
298,pt_no298,"[[-28.46421841059924], [3.215777139014225], [-39.04634468802664]]"
299,pt_no299,"[[-26.25333361354038], [3.355636733464817], [-35.13675243344915]]"
300,pt_no300,"[[-48.31081061246439], [10.80224178284833], [-11.93620611016147]]"
301,pt_no301,"[[-48.31081061246439], [14.86155968345921], [-8.655726899217793]]"
302,pt_no302,"[[-48.31081061246439], [10.51560919468295], [-7.995503218985736]]"
303,pt_no303,"[[-42.03403297649844], [14.15728752179143], [-11.70411031005635]]"
304,pt_no304,"[[-38.77008806950403], [31.50601401223043], [-24.99999999999992]]"
305,pt_no305,"[[-39.69349937238439], [27.21139945742605], [-24.99999999999993]]"
