,no,pt_no,region,temp_I,sekisan_I
151,cv_no151,"[4146, 4943, 4465, 4972]",12,0.0,0.0
152,cv_no152,"[3632, 4343, 4185, 4804]",12,0.0,0.0
153,cv_no153,"[3728, 3908, 3724, 4544]",12,0.0,0.0
154,cv_no154,"[1261, 1141, 4820, 4990]",12,0.0,0.0
155,cv_no155,"[2752, 2695, 2625, 5007]",12,0.0,0.0
156,cv_no156,"[3419, 3513, 3410, 4063]",12,0.0,0.0
157,cv_no157,"[1203, 963, 3735, 4137]",12,0.0,0.0
158,cv_no158,"[2341, 2382, 2359, 4078]",12,0.0,0.0
159,cv_no159,"[3644, 4204, 4506, 4660]",12,0.0,0.0
160,cv_no160,"[3381, 3402, 3474, 4355]",12,0.0,0.0
161,cv_no161,"[1716, 329, 1846, 1997]",12,0.0,0.0
162,cv_no162,"[1337, 1497, 4251, 4811]",12,0.0,0.0
163,cv_no163,"[1188, 1177, 967, 4150]",12,0.0,0.0
164,cv_no164,"[2603, 2523, 483, 2728]",12,0.0,0.0
165,cv_no165,"[1664, 4100, 1456, 4765]",12,0.0,0.0
166,cv_no166,"[3258, 3235, 3271, 4029]",12,0.0,0.0
167,cv_no167,"[1985, 4331, 2021, 4872]",12,0.0,0.0
168,cv_no168,"[2467, 2469, 2491, 4950]",12,0.0,0.0
169,cv_no169,"[4268, 4435, 3640, 4854]",12,0.0,0.0
170,cv_no170,"[3666, 4279, 4185, 4808]",12,0.0,0.0
171,cv_no171,"[3365, 4075, 3366, 4579]",12,0.0,0.0
172,cv_no172,"[4321, 4663, 3758, 4849]",12,0.0,0.0
173,cv_no173,"[3741, 4994, 4109, 5022]",12,0.0,0.0
174,cv_no174,"[2142, 2288, 2287, 4879]",12,0.0,0.0
175,cv_no175,"[1491, 1531, 1460, 4304]",12,0.0,0.0
176,cv_no176,"[3200, 4129, 3165, 5012]",12,0.0,0.0
177,cv_no177,"[983, 3991, 723, 4413]",12,0.0,0.0
178,cv_no178,"[653, 3993, 911, 4440]",12,0.0,0.0
179,cv_no179,"[4423, 4828, 730, 4960]",12,0.0,0.0
180,cv_no180,"[1437, 1438, 1556, 4955]",12,0.0,0.0
181,cv_no181,"[3959, 4437, 3687, 4731]",12,0.0,0.0
182,cv_no182,"[2505, 2526, 2560, 4162]",12,0.0,0.0
183,cv_no183,"[317, 1653, 1849, 1616]",12,0.0,0.0
184,cv_no184,"[1434, 1563, 4090, 4850]",12,0.0,0.0
185,cv_no185,"[1595, 1586, 4490, 4609]",12,0.0,0.0
186,cv_no186,"[2343, 2828, 2378, 4257]",12,0.0,0.0
187,cv_no187,"[3961, 4360, 3697, 4361]",12,0.0,0.0
188,cv_no188,"[3617, 3845, 4553, 4898]",12,0.0,0.0
189,cv_no189,"[2528, 2530, 4222, 4539]",12,0.0,0.0
190,cv_no190,"[762, 705, 703, 3993]",12,0.0,0.0
191,cv_no191,"[850, 776, 882, 3992]",12,0.0,0.0
192,cv_no192,"[905, 893, 898, 4182]",12,0.0,0.0
193,cv_no193,"[235, 4577, 3848, 5056]",12,0.0,0.0
194,cv_no194,"[3266, 3239, 3264, 4232]",12,0.0,0.0
195,cv_no195,"[1802, 1806, 4238, 4693]",12,0.0,0.0
196,cv_no196,"[3791, 982, 4407, 4514]",12,0.0,0.0
197,cv_no197,"[4267, 4645, 3903, 4751]",12,0.0,0.0
198,cv_no198,"[1500, 3971, 1537, 4940]",12,0.0,0.0
199,cv_no199,"[977, 4598, 4230, 4915]",12,0.0,0.0
200,cv_no200,"[2528, 2114, 2239, 4539]",12,0.0,0.0
201,cv_no201,"[2408, 4470, 2437, 4876]",12,0.0,0.0
202,cv_no202,"[1064, 1065, 1108, 4482]",12,0.0,0.0
203,cv_no203,"[2470, 2463, 3954, 4784]",12,0.0,0.0
204,cv_no204,"[3855, 3598, 4714, 4902]",12,0.0,0.0
205,cv_no205,"[3633, 4595, 4134, 5021]",12,0.0,0.0
206,cv_no206,"[2772, 2684, 2795, 3954]",12,0.0,0.0
207,cv_no207,"[1042, 1072, 1071, 4202]",12,0.0,0.0
208,cv_no208,"[1477, 3975, 1528, 5001]",12,0.0,0.0
209,cv_no209,"[1573, 1831, 1600, 4198]",12,0.0,0.0
210,cv_no210,"[3268, 3257, 3041, 4186]",12,0.0,0.0
211,cv_no211,"[2674, 4368, 2740, 4724]",12,0.0,0.0
212,cv_no212,"[3789, 4286, 971, 4917]",12,0.0,0.0
213,cv_no213,"[3707, 4403, 4465, 4972]",12,0.0,0.0
214,cv_no214,"[3610, 4599, 4194, 4816]",12,0.0,0.0
215,cv_no215,"[2902, 4465, 4146, 4943]",12,0.0,0.0
216,cv_no216,"[4079, 4342, 3193, 4635]",12,0.0,0.0
217,cv_no217,"[652, 983, 118, 1148]",12,0.0,0.0
218,cv_no218,"[3013, 3038, 3092, 5014]",12,0.0,0.0
219,cv_no219,"[3114, 2918, 3007, 4193]",12,0.0,0.0
220,cv_no220,"[1120, 4148, 3908, 4150]",12,0.0,0.0
221,cv_no221,"[3569, 4068, 3930, 4555]",12,0.0,0.0
222,cv_no222,"[1209, 3791, 3746, 4514]",12,0.0,0.0
223,cv_no223,"[3519, 3521, 3448, 4307]",12,0.0,0.0
224,cv_no224,"[3721, 5019, 3990, 5040]",12,0.0,0.0
225,cv_no225,"[3493, 3967, 3492, 5036]",12,0.0,0.0
226,cv_no226,"[2161, 2301, 2164, 4268]",12,0.0,0.0
227,cv_no227,"[1019, 4037, 1020, 4730]",12,0.0,0.0
228,cv_no228,"[4091, 4303, 3665, 4744]",12,0.0,0.0
229,cv_no229,"[3009, 4590, 4193, 4701]",12,0.0,0.0
230,cv_no230,"[1221, 4312, 1142, 4990]",12,0.0,0.0
231,cv_no231,"[2577, 2579, 2581, 4239]",12,0.0,0.0
232,cv_no232,"[1948, 1924, 3778, 4746]",12,0.0,0.0
233,cv_no233,"[2553, 4801, 4323, 5068]",12,0.0,0.0
234,cv_no234,"[1560, 1544, 1310, 4401]",12,0.0,0.0
235,cv_no235,"[3211, 3201, 3187, 4437]",12,0.0,0.0
236,cv_no236,"[1029, 987, 1211, 3977]",12,0.0,0.0
237,cv_no237,"[2694, 2716, 2693, 4708]",12,0.0,0.0
238,cv_no238,"[1785, 1769, 1768, 5009]",12,0.0,0.0
239,cv_no239,"[3942, 3605, 4152, 4890]",12,0.0,0.0
240,cv_no240,"[2542, 3936, 2516, 4790]",12,0.0,0.0
241,cv_no241,"[3399, 3412, 3413, 4562]",12,0.0,0.0
242,cv_no242,"[1910, 2043, 293, 1598]",12,0.0,0.0
243,cv_no243,"[3824, 812, 4706, 4930]",12,0.0,0.0
244,cv_no244,"[2604, 4374, 2592, 4975]",12,0.0,0.0
245,cv_no245,"[3632, 4804, 4014, 4866]",12,0.0,0.0
246,cv_no246,"[3674, 4107, 4008, 4881]",12,0.0,0.0
247,cv_no247,"[1639, 4031, 4764, 4786]",12,0.0,0.0
248,cv_no248,"[2494, 2443, 2480, 4784]",12,0.0,0.0
249,cv_no249,"[1421, 4469, 4144, 4936]",12,0.0,0.0
250,cv_no250,"[4277, 4592, 3718, 4977]",12,0.0,0.0
251,cv_no251,"[2196, 2197, 2167, 4446]",12,0.0,0.0
252,cv_no252,"[2570, 4539, 2508, 5031]",12,0.0,0.0
253,cv_no253,"[3733, 3814, 3601, 4500]",12,0.0,0.0
254,cv_no254,"[1431, 1498, 1369, 4315]",12,0.0,0.0
255,cv_no255,"[3515, 3416, 3397, 4788]",12,0.0,0.0
256,cv_no256,"[3645, 3922, 4866, 4989]",12,0.0,0.0
257,cv_no257,"[203, 4248, 204, 4250]",12,0.0,0.0
258,cv_no258,"[3307, 3821, 4308, 5039]",12,0.0,0.0
259,cv_no259,"[3229, 2845, 536, 3245]",12,0.0,0.0
260,cv_no260,"[3730, 4906, 4135, 4971]",12,0.0,0.0
261,cv_no261,"[3689, 3894, 4499, 4901]",12,0.0,0.0
262,cv_no262,"[209, 4233, 3724, 4763]",12,0.0,0.0
263,cv_no263,"[1540, 4602, 4033, 4981]",12,0.0,0.0
264,cv_no264,"[3923, 4051, 4396, 4802]",12,0.0,0.0
265,cv_no265,"[3184, 3213, 3163, 4008]",12,0.0,0.0
266,cv_no266,"[3793, 4297, 4471, 4799]",12,0.0,0.0
267,cv_no267,"[3634, 4411, 4073, 4826]",12,0.0,0.0
268,cv_no268,"[3707, 3996, 4617, 4935]",12,0.0,0.0
269,cv_no269,"[3671, 4320, 4016, 4558]",12,0.0,0.0
270,cv_no270,"[3113, 3128, 3127, 4080]",12,0.0,0.0
271,cv_no271,"[3272, 3348, 3231, 4454]",12,0.0,0.0
272,cv_no272,"[1270, 1206, 990, 4463]",12,0.0,0.0
273,cv_no273,"[3639, 4056, 4289, 4775]",12,0.0,0.0
274,cv_no274,"[964, 4230, 969, 4818]",12,0.0,0.0
275,cv_no275,"[3402, 3522, 3476, 4546]",12,0.0,0.0
276,cv_no276,"[4316, 4821, 3865, 4922]",12,0.0,0.0
277,cv_no277,"[482, 2546, 2600, 4621]",12,0.0,0.0
278,cv_no278,"[3193, 3194, 4079, 4635]",12,0.0,0.0
279,cv_no279,"[1656, 1677, 1550, 4126]",12,0.0,0.0
280,cv_no280,"[1860, 1861, 1862, 4573]",12,0.0,0.0
281,cv_no281,"[2131, 2130, 2129, 4572]",12,0.0,0.0
282,cv_no282,"[4100, 4764, 3693, 4765]",12,0.0,0.0
283,cv_no283,"[2594, 2743, 2581, 4486]",12,0.0,0.0
284,cv_no284,"[1806, 1819, 1968, 4485]",12,0.0,0.0
285,cv_no285,"[3014, 3289, 553, 4480]",12,0.0,0.0
286,cv_no286,"[1019, 1021, 4280, 4730]",12,0.0,0.0
287,cv_no287,"[1779, 1733, 1755, 4620]",12,0.0,0.0
288,cv_no288,"[3769, 3770, 4365, 4996]",12,0.0,0.0
289,cv_no289,"[4640, 4761, 3726, 4833]",12,0.0,0.0
290,cv_no290,"[3113, 3128, 4080, 4982]",12,0.0,0.0
291,cv_no291,"[2202, 4539, 4244, 5031]",12,0.0,0.0
292,cv_no292,"[2394, 2235, 2423, 4402]",12,0.0,0.0
293,cv_no293,"[3432, 3430, 3431, 4754]",12,0.0,0.0
294,cv_no294,"[3731, 4262, 3860, 4399]",12,0.0,0.0
295,cv_no295,"[4203, 4668, 3684, 4869]",12,0.0,0.0
296,cv_no296,"[1618, 4100, 1663, 4712]",12,0.0,0.0
297,cv_no297,"[4152, 4903, 3701, 5060]",12,0.0,0.0
298,cv_no298,"[3659, 4046, 4424, 4814]",12,0.0,0.0
299,cv_no299,"[1946, 4141, 2043, 4508]",12,0.0,0.0
300,cv_no300,"[3709, 4798, 4631, 4819]",12,0.0,0.0
301,cv_no301,"[3323, 3294, 3275, 4410]",12,0.0,0.0
302,cv_no302,"[3772, 3991, 3673, 4870]",12,0.0,0.0
303,cv_no303,"[1555, 1375, 1582, 4995]",12,0.0,0.0
304,cv_no304,"[985, 1185, 4208, 5043]",12,0.0,0.0
305,cv_no305,"[1044, 1046, 4189, 4648]",12,0.0,0.0
306,cv_no306,"[3883, 4903, 4152, 5060]",12,0.0,0.0
307,cv_no307,"[3759, 4662, 4320, 4835]",12,0.0,0.0
308,cv_no308,"[3682, 4578, 4511, 4706]",12,0.0,0.0
309,cv_no309,"[3638, 4705, 4224, 4906]",12,0.0,0.0
310,cv_no310,"[2196, 4446, 2167, 4563]",12,0.0,0.0
311,cv_no311,"[651, 1206, 678, 4463]",12,0.0,0.0
312,cv_no312,"[3181, 589, 3169, 3548]",12,0.0,0.0
313,cv_no313,"[4545, 4647, 3579, 5054]",12,0.0,0.0
314,cv_no314,"[3616, 4920, 3914, 5029]",12,0.0,0.0
315,cv_no315,"[1908, 2053, 2001, 4713]",12,0.0,0.0
316,cv_no316,"[3797, 4803, 5022, 5040]",12,0.0,0.0
317,cv_no317,"[3423, 4224, 3413, 4705]",12,0.0,0.0
318,cv_no318,"[4351, 4557, 2908, 4945]",12,0.0,0.0
319,cv_no319,"[3624, 4477, 3998, 4875]",12,0.0,0.0
320,cv_no320,"[3520, 3509, 3420, 4523]",12,0.0,0.0
321,cv_no321,"[1028, 4215, 3860, 4827]",12,0.0,0.0
322,cv_no322,"[778, 933, 924, 3859]",12,0.0,0.0
323,cv_no323,"[3954, 3662, 4470, 4549]",12,0.0,0.0
324,cv_no324,"[2702, 4537, 4253, 5005]",12,0.0,0.0
325,cv_no325,"[1473, 1538, 1340, 5015]",12,0.0,0.0
326,cv_no326,"[492, 4515, 2655, 5023]",12,0.0,0.0
327,cv_no327,"[3938, 3653, 4596, 4926]",12,0.0,0.0
328,cv_no328,"[1192, 969, 4230, 4818]",12,0.0,0.0
329,cv_no329,"[2119, 4255, 2189, 4548]",12,0.0,0.0
330,cv_no330,"[3668, 4326, 4108, 4825]",12,0.0,0.0
331,cv_no331,"[2187, 2133, 4163, 4733]",12,0.0,0.0
332,cv_no332,"[3419, 4063, 3410, 4788]",12,0.0,0.0
333,cv_no333,"[3545, 4668, 3530, 4869]",12,0.0,0.0
334,cv_no334,"[2340, 2605, 432, 2363]",12,0.0,0.0
335,cv_no335,"[1979, 1839, 1978, 4439]",12,0.0,0.0
336,cv_no336,"[1957, 1960, 4279, 5069]",12,0.0,0.0
337,cv_no337,"[2542, 2568, 2516, 3936]",12,0.0,0.0
338,cv_no338,"[902, 899, 646, 4174]",12,0.0,0.0
339,cv_no339,"[3697, 4078, 4636, 4724]",12,0.0,0.0
340,cv_no340,"[3483, 3482, 3480, 4731]",12,0.0,0.0
341,cv_no341,"[732, 4182, 669, 4828]",12,0.0,0.0
342,cv_no342,"[3633, 4419, 3931, 4660]",12,0.0,0.0
343,cv_no343,"[3894, 4599, 3919, 4649]",12,0.0,0.0
344,cv_no344,"[3739, 4804, 4343, 4866]",12,0.0,0.0
345,cv_no345,"[1694, 3927, 1700, 4911]",12,0.0,0.0
346,cv_no346,"[2815, 2744, 2769, 5046]",12,0.0,0.0
