,0
876,4858
877,4801
878,5012
879,4721
880,314
881,4439
882,684
883,4605
884,4465
885,3530
886,3041
887,4180
888,4463
889,335
890,4462
891,4944
892,4240
893,686
894,4519
895,214
896,4239
897,4713
898,687
899,213
900,212
901,2374
902,17
903,4634
904,4633
905,685
906,2280
907,40
908,3348
909,3901
910,310
911,639
912,4638
913,4054
914,313
915,4720
916,41
917,3890
918,1275
919,356
920,3633
921,4508
922,3576
923,1242
924,1057
925,1361
926,2920
927,3029
928,3638
929,4509
930,4783
931,4807
932,2495
933,42
934,4396
935,4635
936,2737
937,3188
938,1699
939,3520
940,5020
941,2056
942,4930
943,443
944,3167
945,3352
946,2857
947,2958
948,1941
949,322
950,1597
951,4484
952,4290
953,1127
954,2260
955,2532
956,2184
957,2259
958,1747
959,3039
960,1653
961,2246
962,3156
963,569
964,934
965,2183
966,3964
967,590
968,3984
969,935
970,1620
971,753
972,3367
973,3295
974,3704
975,4495
976,2519
977,708
978,3571
979,2828
980,3294
981,4454
982,698
983,634
984,3752
985,1018
986,3745
987,816
988,3820
989,1374
990,177
991,4959
992,2945
993,3407
994,3396
995,3243
996,265
997,2509
998,1927
999,4163
1000,267
1001,3539
1002,4435
1003,4424
1004,4055
1005,4461
1006,2863
1007,3015
1008,3391
1009,3014
1010,2770
1011,3540
1012,3652
1013,3493
1014,3488
1015,3816
1016,2240
1017,2241
1018,3915
1019,789
1020,790
1021,967
1022,3137
1023,2282
1024,3136
1025,3138
1026,3923
1027,3362
1028,1053
1029,815
1030,4094
1031,4958
1032,2384
1033,1585
1034,321
1035,3963
1036,1652
1037,2971
1038,4401
1039,4382
1040,3619
1041,2463
1042,736
1043,2248
1044,124
1045,123
1046,125
1047,3693
1048,3721
1049,2527
1050,3492
1051,3561
1052,2166
1053,4470
1054,3641
1055,1702
1056,408
1057,4949
1058,407
1059,1651
1060,2784
1061,1605
1062,4404
1063,442
1064,718
1065,719
1066,4964
1067,4022
1068,1164
1069,1982
1070,3907
1071,738
1072,737
1073,406
1074,4056
1075,3271
1076,1961
1077,3001
1078,323
1079,2528
1080,4754
1081,4762
1082,3489
1083,3662
1084,4122
1085,344
1086,1315
1087,4141
1088,3911
1089,2133
1090,2015
1091,5003
1092,1135
1093,1314
1094,4718
1095,2773
1096,90
1097,3345
1098,3815
1099,4057
1100,4951
1101,4355
1102,3979
1103,4399
1104,4059
1105,4060
1106,1712
1107,4600
1108,720
1109,3577
1110,3605
1111,2751
1112,2794
1113,2809
1114,3707
1115,2810
1116,3154
1117,1711
1118,3155
1119,3773
1120,770
1121,3884
1122,3885
1123,4405
1124,2922
1125,2750
1126,4219
1127,4339
1128,3996
1129,1125
1130,4385
1131,3263
1132,4379
1133,4028
1134,2792
1135,2790
1136,2167
1137,2211
1138,3468
1139,3753
1140,2204
1141,468
1142,796
1143,3931
1144,3932
1145,2833
1146,3823
1147,3863
1148,767
1149,2606
1150,4147
1151,2605
1152,3242
1153,3408
1154,3806
1155,517
1156,3126
1157,4589
1158,2960
1159,1960
1160,2245
1161,325
1162,2829
1163,4185
1164,4938
1165,2288
1166,3772
1167,1483
1168,4166
1169,2510
1170,516
1171,1372
1172,1942
1173,5059
1174,2421
1175,4302
1176,2464
1177,589
1178,3270
1179,4171
1180,4804
1181,2892
1182,4359
1183,4262
1184,4293
1185,1019
1186,3610
1187,4388
1188,588
1189,2747
1190,3560
1191,2753
1192,1074
1193,2187
1194,2392
1195,3642
1196,4124
1197,3145
1198,3272
1199,2206
1200,4182
1201,4063
1202,4127
1203,568
1204,3523
1205,4806
1206,178
1207,4220
1208,4788
1209,773
1210,3353
1211,817
1212,4755
1213,4172
1214,4373
1215,2134
1216,3978
1217,4601
1218,2132
1219,3892
1220,4311
1221,795
1222,4705
1223,320
1224,2465
1225,2950
1226,2944
1227,3471
1228,2856
1229,2186
1230,3262
1231,4485
1232,3919
1233,3168
1234,1126
1235,4992
1236,3337
1237,4088
1238,1136
1239,3720
1240,4477
1241,1701
1242,2420
1243,4105
1244,2205
1245,4979
1246,3910
1247,4292
1248,515
1249,3369
1250,1484
1251,5025
1252,4123
1253,2849
1254,1482
1255,4732
1256,4222
1257,4596
1258,4538
1259,3552
1260,4448
1261,466
1262,4272
1263,4097
1264,2973
1265,4950
1266,4263
1267,1721
1268,4768
1269,2171
1270,931
1271,3814
1272,3839
1273,2771
1274,3891
1275,4402
1276,2772
1277,4991
1278,2972
1279,4492
1280,2953
1281,4793
1282,1276
1283,3802
1284,1243
1285,3639
1286,3800
1287,1477
1288,3441
1289,1407
1290,1406
1291,206
1292,2088
1293,2330
1294,4489
1295,4327
1296,3713
1297,3670
1298,3329
1299,3455
1300,2673
1301,1473
1302,1228
1303,2672
1304,2297
1305,2525
1306,3771
1307,2179
1308,2885
1309,2899
1310,811
1311,2526
1312,5061
1313,3456
1314,3459
1315,3770
1316,3842
1317,3566
1318,2993
1319,1577
1320,4630
1321,2884
1322,3986
1323,1419
1324,2454
1325,1658
1326,369
1327,2995
1328,5064
1329,127
1330,2994
1331,3095
1332,3073
1333,3166
1334,3058
1335,4433
1336,3398
1337,584
1338,3129
1339,4440
1340,1064
1341,2716
1342,2718
1343,2272
1344,4457
1345,3359
1346,1480
1347,3382
1348,3096
1349,1917
1350,2474
1351,4074
1352,2913
1353,1123
1354,3956
1355,3360
1356,2912
1357,5048
1358,3399
1359,1468
1360,2337
1361,1998
1362,2112
1363,2000
1364,1999
1365,1916
1366,3549
1367,4330
1368,2111
1369,873
1370,2621
1371,3922
1372,3020
1373,3875
1374,3876
1375,1015
1376,4386
1377,2612
1378,1299
1379,1575
1380,210
1381,2255
1382,3146
1383,3921
1384,1762
1385,2886
1386,4000
1387,2490
1388,2488
1389,2543
1390,4329
1391,2269
1392,1588
1393,3305
1394,4394
1395,2669
1396,2671
1397,2936
1398,3858
1399,3148
1400,3301
1401,4032
1402,1761
1403,2381
1404,1311
1405,3204
1406,1312
1407,2713
1408,2706
1409,4307
1410,3248
1411,1679
1412,4850
1413,4015
1414,2237
1415,4812
1416,2199
1417,2611
1418,1310
1419,1868
1420,2404
1421,857
1422,1836
1423,2117
1424,2176
1425,2462
1426,2273
1427,2508
1428,1474
1429,1155
1430,4441
1431,871
1432,2691
1433,3811
1434,660
1435,2270
1436,3794
1437,644
1438,645
1439,2544
1440,2198
1441,3824
1442,3742
1443,1156
1444,1154
1445,1472
1446,2402
1447,1680
1448,3795
