,pt_no,coordinate
118,pt_no118,"[[-53.31081061246439], [-6.958101931466885], [-3.961330546923696]]"
119,pt_no119,"[[-64.6343301390455], [-2.545634579814906], [-7.118439531552728]]"
120,pt_no120,"[[-53.31081061246439], [-11.99324340308543], [-15.0]]"
121,pt_no121,"[[-64.75485654354397], [-13.84687075255862], [-11.48233749758612]]"
122,pt_no122,"[[-5.419696504298464], [-8.919882044141689], [-25.79705072101016]]"
123,pt_no123,"[[-4.361038552581025], [-3.964976872866856], [-15.79999999999994]]"
124,pt_no124,"[[-10.87865154497061], [-1.448927473411838], [-21.52492520252163]]"
125,pt_no125,"[[-45.00954042324234], [3.006756596914556], [-123.5]]"
126,pt_no126,"[[-48.4990013877621], [6.381251510797005], [-112.2809852846273]]"
127,pt_no127,"[[-53.66979446108678], [-1.993243403085344], [-123.5]]"
128,pt_no128,"[[-49.51535898019581], [-4.797550073415369], [-113.3947717564804]]"
129,pt_no129,"[[-88.31081061246428], [22.35470614933104], [-14.99921489089968]]"
130,pt_no130,"[[-88.31081061246428], [12.90900801565905], [-15.24821541420708]]"
131,pt_no131,"[[-88.31081061246428], [17.84732868279195], [-23.80143851322663]]"
132,pt_no132,"[[-77.5605637007215], [13.12695092468743], [-20.59945000472297]]"
133,pt_no133,"[[-5.411796541564082], [-30.58435300305386], [-79.50035056691729]]"
134,pt_no134,"[[-5.597872107466651], [-20.54071877845602], [-85.960309233387]]"
135,pt_no135,"[[0.7839471912845521], [-27.0782476570287], [-92.69274725426449]]"
136,pt_no136,"[[-6.535720830536282], [-33.21826247333956], [-89.24520487349336]]"
137,pt_no137,"[[43.13718852516444], [48.00675659691487], [-29.68749999999959]]"
138,pt_no138,"[[35.77311712773562], [48.00675659691488], [-24.76838522316915]]"
139,pt_no139,"[[34.14258261574205], [48.00675659691488], [-31.98739795643059]]"
140,pt_no140,"[[41.00255779226362], [37.24397312166218], [-24.91142812351836]]"
141,pt_no141,"[[-23.90844600196716], [15.02596936004871], [-14.99999999999993]]"
142,pt_no142,"[[-23.05932951333948], [12.05009512527839], [-8.197046893780666]]"
143,pt_no143,"[[-20.80476981989933], [11.13408252678723], [-14.99999999999993]]"
144,pt_no144,"[[-20.48678225791164], [16.22884806043813], [-10.09757075264319]]"
145,pt_no145,"[[-15.82926661453389], [-3.520795508637077], [-1.388302881872704]]"
146,pt_no146,"[[-20.07920281483105], [-6.869151029452389], [-9.031244816503825]]"
147,pt_no147,"[[-16.34236199627357], [-11.05745638131135], [-4.747592660884631]]"
148,pt_no148,"[[-21.14808177244097], [-7.578947184834131], [-1.644518781457915]]"
149,pt_no149,"[[51.68918938753572], [3.04210382153795], [39.46747659667145]]"
150,pt_no150,"[[39.37086041195346], [1.915992376079918], [44.93190057609876]]"
151,pt_no151,"[[41.47265563656479], [12.38641323546483], [41.63872606293636]]"
152,pt_no152,"[[42.23541564329362], [3.9640907859929], [35.07876289569447]]"
153,pt_no153,"[[11.68918938753561], [-8.659910069752101], [4.999999999999988]]"
154,pt_no154,"[[11.68918938753561], [-3.937687847529858], [-3.179128813519744]]"
155,pt_no155,"[[11.68918938753561], [-13.38213229197437], [0.03278518821769261]]"
156,pt_no156,"[[1.961102182017948], [-8.530302058846392], [-5.847251225124543]]"
157,pt_no157,"[[-28.44426395940927], [-1.333978330795422], [55.68047614229364]]"
158,pt_no158,"[[-35.14132297956871], [6.449201232758741], [49.30010521176093]]"
159,pt_no159,"[[-33.29821319236307], [-0.9723161976320336], [46.40788997002793]]"
160,pt_no160,"[[-36.5181006244084], [-3.324526020583829], [54.58946899766522]]"
161,pt_no161,"[[-46.16290447259448], [-21.67961621153717], [-58.34570012041526]]"
162,pt_no162,"[[-33.86910531876001], [-28.04816517463982], [-62.36580626432043]]"
163,pt_no163,"[[-44.50866116973217], [-31.08897505742652], [-66.8107888803037]]"
164,pt_no164,"[[-41.2280198057925], [-20.89683200442941], [-67.8750909083348]]"
165,pt_no165,"[[-79.75880975009301], [-41.9932434030851], [19.68749999999959]]"
166,pt_no166,"[[-88.3108106124643], [-35.82121415217547], [19.68749999999949]]"
167,pt_no167,"[[-80.32759734461968], [-41.9932434030851], [28.57733098756446]]"
168,pt_no168,"[[-75.7210224207358], [-32.0026371768676], [27.71777208047753]]"
169,pt_no169,"[[-88.3108106124643], [-21.96180845993774], [-106.1976662249768]]"
170,pt_no170,"[[-77.614346168699], [-16.51458697609073], [-103.6232316004171]]"
171,pt_no171,"[[-88.3108106124643], [-26.9064871052416], [-97.58077860912564]]"
172,pt_no172,"[[-78.44693376302891], [-31.55800738444547], [-99.69911905555294]]"
173,pt_no173,"[[3.510060574015924], [24.39564548580376], [25.79999999999999]]"
174,pt_no174,"[[2.484790272744295], [35.08603430888883], [25.79999999999999]]"
175,pt_no175,"[[11.68918938753561], [33.84008993024818], [20.8327851882177]]"
176,pt_no176,"[[-1.407797767296372], [32.06243908746257], [16.04649279703756]]"
177,pt_no177,"[[-65.84182299981893], [-41.99324340308511], [55.89125086404228]]"
178,pt_no178,"[[-73.61447336619463], [-41.9932434030851], [54.27624366451265]]"
179,pt_no179,"[[-71.20933972713138], [-41.99324340308511], [62.9312388849534]]"
180,pt_no180,"[[-70.6864785748785], [-30.2667838851713], [61.59386866450857]]"
181,pt_no181,"[[16.68918938753561], [18.00675659691479], [-35.79999999999998]]"
182,pt_no182,"[[27.97127738523265], [23.39366417142917], [-36.78560850882455]]"
183,pt_no183,"[[16.68918938753561], [23.00675659691481], [-24.46025403784439]]"
184,pt_no184,"[[26.39790598083905], [15.37095511059973], [-26.89887158446328]]"
185,pt_no185,"[[27.55649957670446], [17.24914731654291], [-83.85454063499762]]"
186,pt_no186,"[[21.17211295768264], [9.257876569102974], [-87.69821980281864]]"
187,pt_no187,"[[15.08592762529492], [12.6265091206131], [-79.27175357800587]]"
188,pt_no188,"[[14.1143839099689], [20.2662969465387], [-85.86204303082597]]"
189,pt_no189,"[[20.9881189830598], [13.75526743744006], [36.70462228437964]]"
190,pt_no190,"[[31.62478036125787], [17.15562857435688], [42.52188688461562]]"
191,pt_no191,"[[33.32153444313126], [9.39544183721662], [35.80529825398892]]"
192,pt_no192,"[[27.66806494457313], [12.56266961102141], [27.52981779964287]]"
193,pt_no193,"[[-53.31081061246439], [-1.993243403085273], [-15.79999999999998]]"
194,pt_no194,"[[-63.97526647029589], [-2.457302684526455], [-29.03573767310137]]"
195,pt_no195,"[[-53.31081061246439], [-7.13892889203467], [-26.88741129336962]]"
196,pt_no196,"[[-65.16503644217224], [-7.051269604428668], [-19.58029849125624]]"
197,pt_no197,"[[-66.15212429985986], [22.80741709341525], [-90.9334952710332]]"
198,pt_no198,"[[-64.52713797108328], [9.04647233687811], [-84.63460582773364]]"
199,pt_no199,"[[-73.06227143517162], [13.86415555213483], [-88.0187978775699]]"
200,pt_no200,"[[-65.31094888289823], [12.31736629640979], [-94.40217110686294]]"
201,pt_no201,"[[-88.31081061246428], [32.49242717835791], [105.1366941904116]]"
202,pt_no202,"[[-88.31081061246428], [28.0067565969149], [113.5]]"
203,pt_no203,"[[-88.31081061246428], [23.0067565969149], [104.8397459621556]]"
204,pt_no204,"[[-80.71000563598265], [23.0067565969149], [113.5]]"
205,pt_no205,"[[-13.0659366631125], [-0.4810779317178273], [4.999999999999995]]"
206,pt_no206,"[[-9.900107122452589], [-3.481459985950167], [4.999999999999995]]"
207,pt_no207,"[[-7.934670132058662], [-1.169737261962831], [-0.3940857585472664]]"
208,pt_no208,"[[-88.31081061246428], [-1.91803721833454], [44.65892819934021]]"
209,pt_no209,"[[-88.3108106124643], [-11.81967084668868], [44.65856665934635]]"
210,pt_no210,"[[-88.3108106124643], [-6.859765600799307], [36.09267722930909]]"
211,pt_no211,"[[-74.31589410231588], [-8.386007538656518], [45.38621548458258]]"
212,pt_no212,"[[6.187388001607964], [-36.99324340308539], [-21.30180138592764]]"
213,pt_no213,"[[3.929281764933567], [-36.99324340308539], [-28.04009237739795]]"
214,pt_no214,"[[-3.310810612464392], [-36.99324340308539], [-24.46025403784438]]"
215,pt_no215,"[[4.547574300507009], [-30.00342873577409], [-15.79999999999995]]"
216,pt_no216,"[[4.54757430050708], [-30.00342873577391], [25.79999999999999]]"
217,pt_no217,"[[-3.310810612464392], [-36.99324340308519], [17.1397459621556]]"
218,pt_no218,"[[3.929281764933567], [-36.99324340308519], [13.55990762260203]]"
219,pt_no219,"[[6.187388001607964], [-36.99324340308519], [20.29819861407235]]"
220,pt_no220,"[[-63.31081061246429], [39.34650255907052], [113.5]]"
221,pt_no221,"[[-62.95182676384184], [28.00675659691488], [113.5]]"
222,pt_no222,"[[-70.70078883372776], [31.42835260788144], [113.5]]"
223,pt_no223,"[[-65.59402406416002], [32.50833407733894], [99.57250391323036]]"
224,pt_no224,"[[41.68918938753571], [30.68624852122602], [113.5]]"
225,pt_no225,"[[36.68918938753568], [22.02599448338165], [113.5]]"
226,pt_no226,"[[31.68918938753569], [30.68624852122609], [113.5]]"
227,pt_no227,"[[40.15328941220781], [22.55922795774457], [102.1843421481596]]"
228,pt_no228,"[[-88.31081061246428], [12.99832344766946], [-114.8446148431426]]"
229,pt_no229,"[[-88.31081061246428], [7.996736993486003], [-107.8859777134706]]"
230,pt_no230,"[[-76.52339874457961], [3.725067482583786], [-111.7125881321153]]"
231,pt_no231,"[[-79.15187740432651], [11.41543709823755], [-104.8459122835375]]"
232,pt_no232,"[[-30.82452687260309], [30.72760997648155], [72.24235900569998]]"
233,pt_no233,"[[-22.99430326859881], [28.01415443798562], [77.26775880817203]]"
234,pt_no234,"[[-29.54173713053925], [21.99083808873499], [81.1123206561792]]"
235,pt_no235,"[[-33.99959800172294], [21.00126232658853], [72.9616109230893]]"
236,pt_no236,"[[-8.532373144135597], [0.8827888680774616], [-8.858981433593208]]"
237,pt_no237,"[[-8.561005159156363], [4.981522487003758], [-0.6640369040246608]]"
238,pt_no238,"[[-2.623046370192474], [0.801374317845398], [-4.575348359659666]]"
239,pt_no239,"[[-2.880624408694055], [6.45672457298432], [-8.28686181320683]]"
240,pt_no240,"[[34.07382136972873], [-26.63473278845601], [93.01817795915565]]"
241,pt_no241,"[[29.39015150334711], [-30.51050564619599], [82.97241718597641]]"
242,pt_no242,"[[36.06922703856813], [-21.4484618361538], [79.6340043664348]]"
243,pt_no243,"[[40.73736435567094], [-31.40594439219478], [84.88981924297995]]"
