,0,1,2
836,28.65,8.1,3.6
837,217.8,64.05,28.8
838,334.79999999999995,165.15,28.650000000000002
839,264.3,81.45,43.05
840,0.15,0.0,0.15
841,0.44999999999999996,0.0,0.3
842,154.5,42.9,15.15
843,0.3,0.0,0.15
844,221.1,66.9,26.4
845,236.54999999999998,72.45,32.1
846,0.9,0.45,0.45
847,243.45,72.45,32.7
848,0.0,0.0,0.0
849,1.65,0.3,0.9
850,2.25,0.45,1.2
851,543.6,157.20000000000002,71.7
852,2.25,1.2,1.05
853,30.000000000000004,7.05,2.25
854,0.15,0.0,0.15
855,0.15,0.0,0.15
856,0.0,0.0,0.0
857,0.15,0.0,0.15
858,0.15,0.0,0.15
859,33.9,7.6499999999999995,3.6
860,214.95,62.4,26.849999999999998
861,0.3,0.15,0.15
862,0.15,0.0,0.15
863,0.75,0.0,0.6
864,0.44999999999999996,0.15,0.15
865,0.15,0.0,0.15
866,1.6500000000000001,0.45,0.3
867,0.15,0.0,0.15
868,160.20000000000002,45.15,13.799999999999999
869,73.65,30.0,43.65
870,0.3,0.0,0.15
871,0.3,0.15,0.15
872,76.5,21.599999999999998,9.9
873,177.75,52.5,18.3
874,1155.0,452.09999999999997,699.15
875,0.8999999999999999,0.15,0.45
876,402.3,116.10000000000001,53.699999999999996
