,pt_no,coordinate
151,pt_no151,"[[41.39277845683974], [25.5798238024848], [0.0]]"
152,pt_no152,"[[48.94248203227669], [11.92848643458876], [0.0]]"
153,pt_no153,"[[55.49939278382321], [14.29128184480302], [14.13534976108294]]"
154,pt_no154,"[[70.0], [43.5028112341764], [38.69316406711985]]"
155,pt_no155,"[[70.0], [38.99603411969149], [53.03759923324552]]"
156,pt_no156,"[[70.0], [53.21374164776674], [49.53406190534608]]"
157,pt_no157,"[[0.0], [13.89876115448303], [38.64766272231459]]"
158,pt_no158,"[[20.76910572721578], [21.88081715332593], [41.30918518162404]]"
159,pt_no159,"[[12.63368993722017], [79.0], [67.49147540747157]]"
160,pt_no160,"[[0.0], [79.0], [75.00000000000014]]"
161,pt_no161,"[[28.44743020277964], [0.0], [95.79026798934247]]"
162,pt_no162,"[[54.28656919065414], [36.32536509523258], [53.2076084112082]]"
163,pt_no163,"[[31.11477951348079], [0.0], [52.31410352397565]]"
164,pt_no164,"[[30.86437815268075], [0.0], [38.36774304097848]]"
165,pt_no165,"[[70.0], [32.69004271951002], [92.47232346972409]]"
166,pt_no166,"[[45.72826449507679], [23.80302914090311], [94.70940109685397]]"
167,pt_no167,"[[15.38915977504876], [64.60065598045107], [14.15586382644721]]"
168,pt_no168,"[[57.51966084781825], [56.74779552048867], [120.0]]"
169,pt_no169,"[[41.39492267850704], [53.69674210913172], [120.0]]"
170,pt_no170,"[[49.00000000000002], [67.05431345888925], [120.0]]"
171,pt_no171,"[[48.32283688755989], [57.01802374790569], [97.75156187065639]]"
172,pt_no172,"[[13.5813600160301], [39.68153268317965], [120.0]]"
173,pt_no173,"[[27.50405170413572], [32.74008346255078], [120.0]]"
174,pt_no174,"[[14.2817188427398], [23.33937924257998], [120.0]]"
175,pt_no175,"[[27.91294472321739], [20.93405787562473], [120.0]]"
176,pt_no176,"[[23.35091666921892], [17.03663652997079], [102.9967628211674]]"
177,pt_no177,"[[38.60272066880032], [14.69683341521418], [105.1515899713045]]"
178,pt_no178,"[[0.0], [47.36412527230863], [25.29872385245459]]"
179,pt_no179,"[[0.0], [54.88911176966518], [35.285316665831]]"
180,pt_no180,"[[17.18737723226052], [41.25621005727992], [33.05692751755581]]"
181,pt_no181,"[[42.00000000000001], [0.0], [120.0]]"
182,pt_no182,"[[0.0], [79.0], [30.00000000000002]]"
183,pt_no183,"[[0.0], [64.17246290211774], [23.57148399704248]]"
184,pt_no184,"[[12.3084145940889], [79.0], [21.24305711319877]]"
185,pt_no185,"[[0.0], [66.19241779195644], [39.329149507192]]"
186,pt_no186,"[[70.0], [79.0], [60.00000000000015]]"
187,pt_no187,"[[54.43025723641667], [63.91825259735676], [59.95072307662645]]"
