,pt_no,coordinate
135,pt_no135,"[[1.0], [0.25], [0.1666666666666667]]"
136,pt_no136,"[[1.0], [0.3333333333333334], [0.08333333333333334]]"
137,pt_no137,"[[1.0], [0.2500000000000001], [0.08333333333333334]]"
138,pt_no138,"[[0.0], [0.4166666666666669], [0.1666666666666667]]"
139,pt_no139,"[[0.0], [0.4166666666666669], [0.08333333333333334]]"
140,pt_no140,"[[0.6000000000000001], [0.1666666666666667], [0.2500000000000001]]"
141,pt_no141,"[[0.6000000000000005], [0.1666666666666666], [0.1666666666666667]]"
142,pt_no142,"[[0.0], [0.5], [0.1666666666666667]]"
143,pt_no143,"[[0.0], [0.5], [0.08333333333333334]]"
144,pt_no144,"[[0.1], [0.5], [0.1666666666666667]]"
145,pt_no145,"[[0.1], [0.5], [0.08333333333333334]]"
146,pt_no146,"[[0.9000000000000004], [0.4166666666666667], [0.2500000000000002]]"
147,pt_no147,"[[0.9000000000000004], [0.3333333333333333], [0.2500000000000002]]"
148,pt_no148,"[[1.0], [0.4166666666666669], [0.2500000000000001]]"
149,pt_no149,"[[1.0], [0.3333333333333334], [0.2500000000000001]]"
150,pt_no150,"[[0.8000000000000003], [0.3333333333333333], [0.2500000000000002]]"
151,pt_no151,"[[0.8000000000000003], [0.2500000000000002], [0.2500000000000002]]"
152,pt_no152,"[[0.9000000000000004], [0.2500000000000002], [0.2500000000000002]]"
153,pt_no153,"[[1.0], [0.2500000000000001], [0.2500000000000001]]"
154,pt_no154,"[[0.0], [0.4166666666666669], [0.2500000000000001]]"
155,pt_no155,"[[0.0], [0.3333333333333334], [0.2500000000000001]]"
156,pt_no156,"[[0.1], [0.416666666666667], [0.2500000000000002]]"
157,pt_no157,"[[0.1], [0.3333333333333336], [0.2500000000000002]]"
158,pt_no158,"[[0.2], [0.416666666666667], [0.2500000000000002]]"
159,pt_no159,"[[0.2], [0.3333333333333333], [0.2500000000000002]]"
160,pt_no160,"[[0.3000000000000002], [0.4166666666666666], [0.2500000000000002]]"
161,pt_no161,"[[0.3000000000000002], [0.3333333333333335], [0.2500000000000001]]"
162,pt_no162,"[[0.4000000000000001], [0.4166666666666667], [0.2500000000000002]]"
163,pt_no163,"[[0.4000000000000001], [0.3333333333333335], [0.2500000000000002]]"
164,pt_no164,"[[0.5000000000000003], [0.4166666666666667], [0.2500000000000002]]"
