,no,cv_no,region,temp_I,integ_I
90,cv_no90,"[436, 427, 391, 382, 437, 428, 392, 383]",7,49.514700000000005,99.5147
91,cv_no91,"[343, 334, 253, 244, 344, 335, 254, 245]",7,49.514700000000005,99.5147
92,cv_no92,"[333, 324, 243, 234, 334, 325, 244, 235]",7,49.514700000000005,99.5147
93,cv_no93,"[334, 325, 244, 235, 335, 326, 245, 236]",7,49.514700000000005,99.5147
94,cv_no94,"[335, 326, 245, 236, 336, 327, 246, 237]",7,49.514700000000005,99.5147
95,cv_no95,"[336, 327, 246, 237, 337, 328, 247, 238]",7,49.514700000000005,99.5147
96,cv_no96,"[337, 328, 247, 238, 338, 329, 248, 239]",7,49.514700000000005,99.5147
97,cv_no97,"[338, 329, 248, 239, 339, 330, 249, 240]",7,49.514700000000005,99.5147
98,cv_no98,"[339, 330, 249, 240, 340, 331, 250, 241]",7,49.514700000000005,99.5147
99,cv_no99,"[340, 331, 250, 241, 111, 110, 45, 44]",7,49.514700000000005,99.5147
100,cv_no100,"[87, 86, 26, 25, 341, 332, 251, 242]",59,0.3438520227628591,0.6910742449850805
101,cv_no101,"[341, 332, 251, 242, 342, 333, 252, 243]",7,49.514700000000005,99.5147
102,cv_no102,"[342, 333, 252, 243, 343, 334, 253, 244]",7,49.514700000000005,99.5147
103,cv_no103,"[332, 323, 242, 233, 333, 324, 243, 234]",7,49.514700000000005,99.5147
104,cv_no104,"[344, 335, 254, 245, 345, 336, 255, 246]",7,49.514700000000005,99.5147
105,cv_no105,"[345, 336, 255, 246, 346, 337, 256, 247]",7,49.514700000000005,99.5147
106,cv_no106,"[346, 337, 256, 247, 347, 338, 257, 248]",7,49.514700000000005,99.5147
107,cv_no107,"[347, 338, 257, 248, 348, 339, 258, 249]",7,49.514700000000005,99.5147
108,cv_no108,"[348, 339, 258, 249, 349, 340, 259, 250]",7,49.514700000000005,99.5147
109,cv_no109,"[349, 340, 259, 250, 112, 111, 46, 45]",7,49.514700000000005,99.5147
110,cv_no110,"[88, 87, 27, 26, 350, 341, 260, 251]",60,0.343852022762859,0.691074244985082
111,cv_no111,"[350, 341, 260, 251, 351, 342, 261, 252]",7,49.514700000000005,99.5147
112,cv_no112,"[351, 342, 261, 252, 352, 343, 262, 253]",7,49.514700000000005,99.5147
113,cv_no113,"[352, 343, 262, 253, 353, 344, 263, 254]",7,49.514700000000005,99.5147
114,cv_no114,"[85, 84, 24, 23, 323, 314, 233, 224]",61,0.3438520227628595,0.6910742449850831
115,cv_no115,"[84, 8, 23, 1, 314, 134, 224, 48]",62,0.34385202276285926,0.6910742449850809
116,cv_no116,"[314, 134, 224, 48, 315, 139, 225, 49]",7,49.514700000000005,99.5147
117,cv_no117,"[315, 139, 225, 49, 316, 144, 226, 50]",7,49.514700000000005,99.5147
118,cv_no118,"[316, 144, 226, 50, 317, 149, 227, 51]",7,49.514700000000005,99.5147
119,cv_no119,"[317, 149, 227, 51, 318, 154, 228, 52]",7,49.514700000000005,99.5147
